"Registrar - INTRODUCTORY BIOLOGY II","Fri,  14 Nov 2014 8:00 CST","","Room: GDC 5.302"
"Registrar - CELL BIOLOGY","Fri,  14 Nov 2014 8:00 CST","","Room: GDC 1.406"
"Rackspace Openstack Testing","Fri,  14 Nov 2014 8:00 CST","","Room: GDC 5.516"
"Registrar - BASIC MATH AND ALGEBRA SKILLS","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 2.402"
"Registrar - BRITISH LITERATURE","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 2.410"
"Registrar - GENETICS","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 2.502"
"Registrar - COMP ORGANIZATN & ARCH-C S","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 4.302"
"Registrar - PRINCIPLES OF CHEMISTRY I","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 2.210"
"Registrar - CELL BIOLOGY","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 1.406"
"Registrar - COMPUTER FLUENCY","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 4.304"
"Registrar - INTRODUCTORY BIOLOGY II","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 5.302"
"Registrar - CELL BIOLOGY","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 5.304"
"Registrar - THE FINITE ELEMENT METHOD","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 1.304"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Fri,  14 Nov 2014 9:00 CST","","Room: GDC 6.202"
"CS 303E TA Meeting","Fri,  14 Nov 2014 9:30 CST","","Room: GDC 6.416"
"RPE : Rashish Tandon","Fri,  14 Nov 2014 9:30 CST","","Room: GDC 4.816"
"Registrar - GENETICS","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 2.410"
"Registrar - CELL BIOLOGY","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 2.502"
"Registrar - INTRODUCTION TO NUMBER THEORY","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 2.210"
"FLARE reading group","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 3.516"
"Registrar - INTRO TO THE STUDY OF SOCIETY","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 4.304"
"Registrar - ELEMS OF COMPUTING IN SOCIETY","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 5.302"
"Registrar - VERTEBRATE NEUROBIOLOGY","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 5.304"
"Registrar - INTRODUCTION TO COMPUTING","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 1.406"
"Registrar - FOUNDATIONS OF LOGICAL THOUGHT","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 1.304"
"Registrar - INTRO TO THE STUDY OF SOCIETY","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 6.202"
"Ambassador Training","Fri,  14 Nov 2014 10:00 CST","","Room: GDC 2.104"
"C S 378 (Beasley) ","Fri,  14 Nov 2014 10:30 CST","",""
"ACT Meeting","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 4.516"
"Registrar - RACE IN THE AGE OF OBAMA","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 2.402"
"Registrar - ESL Fall 201410/23/14 PROGRAM: SPECDAYS LIBRARY: NRROOM PAGE: 11 ","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 2.502"
"Registrar - ESL Instruction ","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 4.302"
"Registrar - ELEMS OF COMPUTERS/PROGRAMMING","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 2.216"
"Registrar - ESL Instruction ","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 2.210"
"Discussion Section for SDS 329C---Practical Linear Algebra","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 2.410"
"Registrar - COMPUTER FLUENCY","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 4.304"
"Registrar - DATA STRUCTURES: HONORS","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 5.302"
"Registrar - GENETICS","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 5.304"
"CNS Staff Potluck","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 6.302"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Fri,  14 Nov 2014 11:00 CST","","Room: GDC 6.202"
"RL Reading Group Meeting","Fri,  14 Nov 2014 12:00 CST","","Room: GDC 3.816"
"Registrar - FROM NUMBERS TO CHAOS","Fri,  14 Nov 2014 12:00 CST","","Room: GDC 2.402"
"Registrar - ESL Fall 2014 ","Fri,  14 Nov 2014 12:00 CST","","Room: GDC 2.410"
"Registrar - LIFE AND DEATH DECISIONS","Fri,  14 Nov 2014 12:00 CST","","Room: GDC 2.502"
"Registrar - TA Office Hours ","Fri,  14 Nov 2014 12:00 CST","","Room: GDC 1.406"
"CS Ambassadors","Fri,  14 Nov 2014 12:00 CST","","Room: GDC 2.712"
"Registrar - GAME DEVEL CAPSTONE: 2D GAMES","Fri,  14 Nov 2014 12:30 CST","","Room: GDC 6.202"
"culture club","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 2.104"
"Registrar - FROM NUMBERS TO CHAOS","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 2.402"
"Registrar - INTRODUCTION TO COMPUTING","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 2.410"
"Registrar - LIFE AND DEATH DECISIONS","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 2.502"
"Registrar - ALGORITHMS AND COMPLEXITY","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 4.302"
"Registrar - ELEMS OF COMPUTERS/PROGRAMMING","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 2.216"
"Registrar - COMPUTER FLUENCY","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 2.210"
"Registrar - TOPICS IN CALCULUS","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 1.406"
"RL Reading Group Meeting","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 3.516"
"Counseling and Mental Health Center tect","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 2.100"
"Phone Interview","Fri,  14 Nov 2014 13:00 CST","","Room: GDC 5.416"
"Software Staff","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 2.104"
"LASR Reading Group","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 6.516"
"Alvisi Extra Class Time","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 4.304"
"Registrar - GRANT WRT & PRESENTATN SKILLS","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 2.402"
"Registrar - INTRODUCTION TO COMPUTING","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 2.410"
"Registrar - LIFE AND DEATH DECISIONS","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 2.502"
"Registrar - ALGORITHMS AND COMPLEXITY","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 4.302"
"Registrar - TOPICS IN CALCULUS","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 2.210"
"Scholarship for Service (SFS)","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 2.712"
"Registrar - ELEMENTS OF WEB PROGRAMMING","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 5.302"
"Registrar - VERTEBRATE NEUROBIOLOGY","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 5.304"
"Registrar - COMP ORGANIZATN & ARCH-C S","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 1.406"
"Registrar - INTRO TO GAME DEVELOPMENT","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 1.304"
"CS395T Discussion section","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 4.516"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Fri,  14 Nov 2014 14:00 CST","","Room: GDC 6.202"
"BEACON meeting","Fri,  14 Nov 2014 14:15 CST","",""
"CS439 meeting with students","Fri,  14 Nov 2014 14:30 CST","","Room: GDC 4.416"
"CS 303E Discussion / Review","Fri,  14 Nov 2014 15:00 CST","","Room: GDC 6.302"
"Registrar - INTRODUCTION TO PROGRAMMING","Fri,  14 Nov 2014 15:00 CST","","Room: GDC 2.216"
"Registrar - FOUNDATIONS OF LOGICAL THOUGHT","Fri,  14 Nov 2014 15:00 CST","","Room: GDC 2.210"
