"CCYYS"	"CSN"	"UNQ"	"FOS"	"CNBR"	"TPC"	"TITLE"	"CANC"	"INC"	"INST NAME"	"INST EID"	"ANCL"	"CLMT"	"SEATS TKN"	"12THDAY"	"TOT ANCL"	"TOT CLMT"	"TOT SEATS TKN"	"TOT 12THDAY"	"TYPE"	"MODE"	"PGM CODE"	"FLAGS"	"#XLISTGS"	"XLISTG INFO"	"SM-AS HM"	"M-SEC HM"	"#TL"	"DAYS1"	"FROM T1"	"TO T1"	"BLDG1"	"RM1"	"CAP1"	"GPC1"	"TL NOTES 1"	"DAYS2"	"FROM T2"	"TO T2"	"BLDG2"	"RM2"	"CAP2"	"GPC2"	"TL NOTES 2"	"DAYS3"	"FROM T3"	"TO T3"	"BLDG3"	"RM3"	"CAP3"	"GPC3"	"TL NOTES 3"	"STD1"	"STD2"	"STD3"	"STD4"	"STD5"	"STD6"	"STD7"	"STD8"	"STD9"	"STD10"	"STD11"	"STD12"	"STD13"	"STD14"	"STD15"	"STD16"	"STD17"	"STD18"	"SCH COMM"	"DEPT COMM"	"LUPD T"	"LUPD ID"	"DATA CHECK"
20152	109840	51610	"C S"	" 301K"		"FOUNDATIONS OF LOGICAL THOUGHT"		"I"	"NANDAKUMAR, V"	"vn2783"	18	0	0	0	51	38	0	0	"LECTURE"	"FACEFACE"			2	"51610 C S  301K; 51615 C S  301K (MS); 51620 C S  301K (MS);"		51620	2	"MWF"	"11:00 am"	"12:00 noon"	"WAG"	420	75	"X"		"F"	"11:00 am"	"12:00 noon"	"GDC"	2.502	24	"X"							0																							"10/24/2014"	"NRNW0291"	"#"
20152	109841	51615	"C S"	" 301K"		"FOUNDATIONS OF LOGICAL THOUGHT"			"NANDAKUMAR, V"	"vn2783"	18	19	0	0	51	38	0	0	"LECTURE"	"FACEFACE"			2	"51610 C S  301K (MS); 51615 C S  301K; 51620 C S  301K (MS);"		51620	2	"MWF"	"11:00 am"	"12:00 noon"	"WAG"	420	75	"X"		"F"	"12:00 noon"	"1:00 pm"	"GDC"	2.502	24	"X"							0																							"10/24/2014"	"NRNW0291"	"#"
20152	109842	51620	"C S"	" 301K"		"FOUNDATIONS OF LOGICAL THOUGHT"			"NANDAKUMAR, V"	"vn2783"	15	19	0	0	51	38	0	0	"LECTURE"	"FACEFACE"			2	"51610 C S  301K (MS); 51615 C S  301K (MS); 51620 C S  301K;"		51620	2	"MWF"	"11:00 am"	"12:00 noon"	"WAG"	420	75	"X"		"F"	"1:00 pm"	"2:00 pm"	"GDC"	2.502	24	"X"							0																							"10/24/2014"	"NRNW0291"	"#"
20152	109843	51625	"C S"	" 302"		"COMPUTER FLUENCY"			"CLEMENT, N"	"nc7556"	75	33	0	0	75	196	0	0	"LECTURE"	"FACEFACE"			5	"51623 C S  302 (MS); 51624 C S  302 (MS); 51625 C S  302; 51626 C S  302 (MS); 51629 C S  302 (MS); 51627 C S  302 (MS);"		51629	2	"MW"	"4:00 pm"	"5:00 pm"	"WEL"	3.502	216	"X"		"F"	"9:00 am"	"10:00 am"	"PAR"	303	40	"X"							0																							"10/24/2014"	"NRNW0291"	"#"
20152	115113	51623	"C S"	" 302"		"COMPUTER FLUENCY"			"CLEMENT, N"	"nc7556"	0	33	0	0	75	196	0	0	"LECTURE"	"FACEFACE"			5	"51623 C S  302; 51625 C S  302 (MS); 51624 C S  302 (MS); 51626 C S  302 (MS); 51629 C S  302 (MS); 51627 C S  302 (MS);"		51629	2	"MW"	"4:00 pm"	"5:00 pm"	"WEL"	3.502	216	"X"		"F"	"10:00 am"	"11:00 am"	"PAR"	201	68	"X"							0																							"10/24/2014"	"NRNW0291"	"#"
20152	115114	51624	"C S"	" 302"		"COMPUTER FLUENCY"			"CLEMENT, N"	"nc7556"	0	32	0	0	75	196	0	0	"LECTURE"	"FACEFACE"			5	"51624 C S  302; 51625 C S  302 (MS); 51623 C S  302 (MS); 51626 C S  302 (MS); 51629 C S  302 (MS); 51627 C S  302 (MS);"		51629	2	"MW"	"4:00 pm"	"5:00 pm"	"WEL"	3.502	216	"X"		"F"	"11:00 am"	"12:00 noon"	"MEZ"	1.12	42	"X"							0																							"10/24/2014"	"NRNW0291"	"#"
20152	115117	51626	"C S"	" 302"		"COMPUTER FLUENCY"			"CLEMENT, N"	"nc7556"	0	33	0	0	75	196	0	0	"LECTURE"	"FACEFACE"			5	"51625 C S  302 (MS); 51623 C S  302 (MS); 51624 C S  302 (MS); 51626 C S  302; 51629 C S  302 (MS); 51627 C S  302 (MS);"		51629	2	"MW"	"4:00 pm"	"5:00 pm"	"WEL"	3.502	216	"X"		"F"	"1:00 pm"	"2:00 pm"	"GAR"	1.126	46	"X"							0																							"10/24/2014"	"NRNW0291"	"#"
20152	115118	51629	"C S"	" 302"		"COMPUTER FLUENCY"			"CLEMENT, N"	"nc7556"	0	32	0	0	75	196	0	0	"LECTURE"	"FACEFACE"			5	"51625 C S  302 (MS); 51623 C S  302 (MS); 51624 C S  302 (MS); 51626 C S  302 (MS); 51627 C S  302 (MS); 51629 C S  302;"		51629	2	"MW"	"4:00 pm"	"5:00 pm"	"WEL"	3.502	216	"X"		"F"	"2:00 pm"	"3:00 pm"	"GAR"	3.116	38	"X"							0																							"10/24/2014"	"NRNW0291"	"#"
20152	115122	51627	"C S"	" 302"		"COMPUTER FLUENCY"			"CLEMENT, N"	"nc7556"	0	33	0	0	75	196	0	0	"LECTURE"	"FACEFACE"			5	"51625 C S  302 (MS); 51623 C S  302 (MS); 51624 C S  302 (MS); 51626 C S  302 (MS); 51627 C S  302; 51629 C S  302 (MS);"		51629	2	"MW"	"4:00 pm"	"5:00 pm"	"WEL"	3.502	216	"X"		"F"	"12:00 noon"	"1:00 pm"	"GAR"	2.112	36	"X"							0																							"10/24/2014"	"NRNW0291"	"#"
20152	109848	51635	"C S"	" 303E"		"ELEMS OF COMPUTERS/PROGRAMMING"			"MITRA, S"	"mitrask"	185	197	0	0	185	197	0	0	"LECTURE"	"FACEFACE"			0				1	"MWF"	"2:00 pm"	"3:00 pm"	"GDC"	2.216	198	"X"							0								0																							"10/24/2014"	"NRNW0291"	"#"
