Semester CCYYS: 20149
Field of Study: all Fields of Study
This is a tab delimited text file. Please open in EXCEL.
The last field is a data check field. All the records should have a # sign in the last field. If not, data has been lost.
---
CCYYS	CSN	UNQ	FOS	CNBR	TPC	TITLE	CANC	INC	INST NAME	INST EID	ANCL	CLMT	SEATS TKN	12THDAY	TOT ANCL	TOT CLMT	TOT SEATS TKN	TOT 12THDAY	TYPE	MODE	PGM CODE	FLAGS	#XLISTGS	XLISTG INFO	SM-AS HM	M-SEC HM	#TL	DAYS1	FROM T1	TO T1	BLDG1	RM1	CAP1	GPC1	TL NOTES 1	DAYS2	FROM T2	TO T2	BLDG2	RM2	CAP2	GPC2	TL NOTES 2	DAYS3	FROM T3	TO T3	BLDG3	RM3	CAP3	GPC3	TL NOTES 3	STD1	STD2	STD3	STD4	STD5	STD6	STD7	STD8	STD9	STD10	STD11	STD12	STD13	STD14	STD15	STD16	STD17	STD18	SCH COMM	DEPT COMM	LUPD T	LUPD ID	DATA CHECK	
20149	112991	36240	AAS	 301		INTRO TO ASIAN AMER STUDIES			CHO, A	ac33275	35	35	34	34	45	50	47	49	LECTURE	FACEFACE		CULTDIVR	1	30880 AMS  315 (ISA); 36240 AAS  301;	36240		1	TTH	9:30 am	11:00 am	PAR	201	68	X							0								0																							10/27/2014	NRNW0291	#	
20149	113693	36245	AAS	 310	  5	5-RACE, IMMIGRATION & FAMILY	A		DOANE, J	jd29893	25	11	0	0	34	18	0	0	SEMINAR	FACEFACE		WRITCRSE; CULTDIVR	2	36245 AAS  310; 47725 WGS  301 (ISA); 30885 AMS  315 (ISA);	36245		1	MWF	12:00 noon	1:00 pm	GEA	127	35	X							0								0																		A					10/27/2014	NRNW0291	#	
20149	106512	36250	AAS	 314		ASIAN AMERICAN LIT AND CULTURE			MENON, S	sm45939	13	13	8	8	25	25	18	18	SEMINAR	FACEFACE		CULTDIVR; WRITCRSE	1	35125 E  314V (ISA); 36250 AAS  314;	36250		1	MWF	10:00 am	11:00 am	MEZ	1.202	26	X							0								0										A													10/27/2014	NRNW0291	#	
20149	106513	36255	AAS	 318Q		SUPERVISED RESEARCH	A				0	1	0	0	0	1	0	0	INDEPEND	FACEFACE			0				0						0								0								0															A								10/27/2014	NRNW0291	#	
20149	106514	36260	AAS	 320		ASIAN AMERICAN MEDIA CULTURES			MALLAPRAGADA, M	mm27898	7	10	8	8	26	35	31	31	LECTURE	FACEFACE		CULTDIVR; WRITCRSE	1	08845 RTF  359 (SSA); 36260 AAS  320;	08845		1	MWF	1:00 pm	2:00 pm	CMA	3.114	48	X							0								0										A								A					10/27/2014	NRNW0291	#	
20149	113264	36265	AAS	 320		MEDIA INDUSTRIES & ENTREPRENRS			CHEN, W	wc5752	5	5	5	5	40	35	27	28	LECTURE	FACEFACE		CULTDIVR	2	08865 RTF  365 (SSA); 36265 AAS  320; 46275 SOC  352E (SSA);	08865		1	MWF	1:00 pm	2:00 pm	CMA	3.116	46								0								0										A								A					10/27/2014	NRNW0291	#	
20149	113681	36270	AAS	 325		GLOBLZTN/ASIAN PROFSSNL MOBLTY	A		MAYS, S	skm2495	30	35	0	0	30	35	0	0	SEMINAR	FACEFACE		CULTDIVR	0				1	TTH	2:00 pm	3:30 pm	SAC	5.102	38	X							0								0																		A					10/27/2014	NRNW0291	#	
20149	115691	36271	AAS	 325		GLOBLZTN/ASIAN PROFSSNL MOBLTY			MAYS, S	skm2495	30	35	14	15	30	35	14	15	SEMINAR	FACEFACE		CULTDIVR; GLOBCULT	0				1	TTH	2:00 pm	3:30 pm	SAC	5.102	38	X							0								0																		A					10/27/2014	NRNW0291	#	
20149	106518	36275	AAS	 325		SOUTH ASIAN MIGRATION TO US			BHALODIA, A	arb383	7	15	5	5	23	40	19	19	SEMINAR	FACEFACE		CULTDIVR; GLOBCULT	3	31940 ANS  372 (SSA); 36275 AAS  325; 39775 HIS  365G (SSA); 47795 WGS  340 (SSA);	36275		1	MWF	9:00 am	10:00 am	CMA	3.114	48	X							0								0																		A					10/27/2014	NRNW0291	#	
20149	113000	36280	AAS	 330		HLTH/CITIZENSHIP IN ASIAN AMER	A		SHAW, V	vgs265	25	0	0	0	50	20	0	0	SEMINAR	FACEFACE			3	30930 AMS  321 (SSA); 36280 AAS  330; 47780 WGS  340 (SSA); 46170 SOC  321K (SSA);	36280		1	MWF	12:00 noon	1:00 pm	CLA	1.104	72	X							0								0																		A					10/27/2014	NRNW0291	#	
20149	114238	36285	AAS	 330	  6	6-URBAN UNREST			TANG, E	et5689	5	10	10	10	48	51	44	46	LECTURE	FACEFACE		CULTDIVR	4	30565 AFR  372F (ISA); 30955 AMS  321 (ISA); 31515 ANT  324L (ISA); 36285 AAS  330; 37930 URB  354 (ISA);	30565		1	TTH	3:30 pm	5:00 pm	SZB	370	65	X							0								0																		A					10/27/2014	NRNW0291	#	
20149	113217	36290	AAS	 335		CHALLENGE OF ASIAN AM LEADRSHP			GURURAJ, S	sg7297	15	22	12	12	15	22	12	12	SEMINAR	FACEFACE			0				1	TTH	12:30 pm	2:00 pm	RLM	5.126	34	X							0								0																		A					10/27/2014	NRNW0291	#	
20149	106524	36295	AAS	 358Q		SUPERVISED RESEARCH	A				0	2	0	0	0	2	0	0	INDEPEND	FACEFACE		INDPINQY	0				0						0								0								0															A								10/27/2014	NRNW0291	#	
20149	106525	36300	AAS	 378		COMMUNITY INTERNSHIP	A				0	1	0	0	0	1	0	0	INDEPEND	FACEFACE			0				0						0								0								0			A										A		A					A			10/27/2014	NRNW0291	#	
20149	106526	36305	AAS	 379		CONF CRS IN ASIAN AMER STUDIES	A				0	1	0	0	0	1	0	0	INDEPEND	FACEFACE		INDPINQY	0				0						0								0								0															A					A			10/27/2014	NRNW0291	#	
20149	106527	36310	AAS	 679HA		HONORS TUTORIAL COURSE	A				0	1	0	0	0	1	0	0	INDEPEND	FACEFACE			0				0						0								0								0																							10/27/2014	NRNW0291	#	
20149	106528	36315	AAS	 679HB		HONORS TUTORIAL COURSE	A				0	1	0	0	0	1	0	0	INDEPEND	FACEFACE		WRITCRSE; INDPINQY	0				0						0								0								0																							10/27/2014	NRNW0291	#	
20149	100474	02615	ACC	 310F		FOUNDATIONS OF ACCOUNTING			VERDUZCO, D	dv2399	300	300	293	297	300	300	293	297	LECTURE	FACEFACE		QUANREAS	0				1	MW	12:30 pm	2:00 pm	UTC	2.102A	349	X							0								0																							10/27/2014	NRNW0291	#	
