"Semester CCYYS: 20152"																																																																										
"Field of Study: all Fields of Study"																																																																										
"This is a tab delimited text file. Please open in EXCEL."																																																																										
"The last field is a data check field. All the records should have a # sign in the last field. If not, data has been lost."																																																																										
"---"																																																																										
"CCYYS"	"CSN"	"UNQ"	"FOS"	"CNBR"	"TPC"	"TITLE"	"CANC"	"INC"	"INST NAME"	"INST EID"	"ANCL"	"CLMT"	"SEATS TKN"	"12THDAY"	"TOT ANCL"	"TOT CLMT"	"TOT SEATS TKN"	"TOT 12THDAY"	"TYPE"	"MODE"	"PGM CODE"	"FLAGS"	"#XLISTGS"	"XLISTG INFO"	"SM-AS HM"	"M-SEC HM"	"#TL"	"DAYS1"	"FROM T1"	"TO T1"	"BLDG1"	"RM1"	"CAP1"	"GPC1"	"TL NOTES 1"	"DAYS2"	"FROM T2"	"TO T2"	"BLDG2"	"RM2"	"CAP2"	"GPC2"	"TL NOTES 2"	"DAYS3"	"FROM T3"	"TO T3"	"BLDG3"	"RM3"	"CAP3"	"GPC3"	"TL NOTES 3"	"STD1"	"STD2"	"STD3"	"STD4"	"STD5"	"STD6"	"STD7"	"STD8"	"STD9"	"STD10"	"STD11"	"STD12"	"STD13"	"STD14"	"STD15"	"STD16"	"STD17"	"STD18"	"SCH COMM"	"DEPT COMM"	"LUPD T"	"LUPD ID"	"DATA CHECK"
20152	102809	12195	"PED"	" 107D"		"BEGINNING GOLF II"			"GNAGY, E"	"eog223"	18	20	0	0	18	20	0	0	"LECTURE"	"FACEFACE"			0				1	"MW"	"8:00 am"	"9:30 am"	"AHG"	5	17								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102810	12200	"PED"	" 107D"		"BEGINNING GOLF II"			"GNAGY, E"	"eog223"	16	20	0	0	16	20	0	0	"LECTURE"	"FACEFACE"			0				1	"TTH"	"11:00 am"	"12:30 pm"	"AHG"	5	17								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102811	12205	"PED"	" 107D"	"  1"	"1-BEGINNING GOLF"			"GNAGY, E"	"eog223"	18	20	0	0	18	20	0	0	"LECTURE"	"FACEFACE"			0				1	"MW"	"9:00 am"	"10:30 am"	"AHG"	5	17								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102812	12210	"PED"	" 107D"	"  1"	"1-BEGINNING GOLF"			"GNAGY, E"	"eog223"	15	20	0	0	15	20	0	0	"LECTURE"	"FACEFACE"			0				1	"TTH"	"9:00 am"	"10:30 am"	"AHG"	5	17								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102813	12215	"PED"	" 107D"	"  1"	"1-BEGINNING GOLF"			"GNAGY, E"	"eog223"	17	20	0	0	17	20	0	0	"LECTURE"	"FACEFACE"			0				1	"MW"	"10:00 am"	"11:30 am"	"AHG"	5	17								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102814	12220	"PED"	" 107D"	"  1"	"1-BEGINNING GOLF"			"GNAGY, E"	"eog223"	12	20	0	0	12	20	0	0	"LECTURE"	"FACEFACE"			0				1	"TTH"	"10:00 am"	"11:30 am"	"AHG"	5	17								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102815	12225	"PED"	" 107D"	"  1"	"1-BEGINNING GOLF"			"GNAGY, E"	"eog223"	16	20	0	0	16	20	0	0	"LECTURE"	"FACEFACE"			0				1	"MW"	"11:00 am"	"12:30 pm"	"AHG"	5	17								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102816	12230	"PED"	" 107D"	"  2"	"2-INTERMEDIATE GOLF"			"GNAGY, E"	"eog223"	19	20	0	0	19	20	0	0	"LECTURE"	"FACEFACE"			0				1	"T"	"2:00 pm"	"5:30 pm"	"AHG"	5	17								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102595	11145	"KIN"	" 119"	" 14"	"14-TENNIS-BASIC CORE"	"A"		"GOTTLICH, S"	"sg28859"	1	35	0	0	1	35	0	0	"LECTURE"	"FACEFACE"			0				1	"TTH"	"2:00 pm"	"3:30 pm"	"AHG"	22	32								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102602	11175	"KIN"	" 219D"		"MOVEMENT ANALYSIS: DUAL ACTIV"			"RAMIREZ, T"	"tbram"	17	25	0	0	17	25	0	0	"LECTURE"	"FACEFACE"			0				1	"TTH"	"8:00 am"	"9:30 am"	"AHG"	22	32								0								0										"A"		"A"											"10/24/2014"	"NRNW0291"	"#"
20152	102736	11870	"PED"	" 104P"	"  1"	"1-BEGINNING TENNIS"			"SANDERS, M"	"mts123"	19	35	0	0	40	70	0	0	"LECTURE"	"FACEFACE"			1	"11865 PED  104P (RS); 11870 PED  104P;"			1	"TTH"	"11:00 am"	"12:30 pm"	"AHG"	22	32								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102737	11850	"PED"	" 104P"	"  1"	"1-BEGINNING TENNIS"			"SANDERS, M"	"mts123"	29	35	0	0	47	70	0	0	"LECTURE"	"FACEFACE"			1	"11845 PED  104P (RS); 11850 PED  104P;"			1	"TTH"	"9:30 am"	"11:00 am"	"AHG"	22	32								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102738	11845	"PED"	" 104P"	"  1"	"1-BEGINNING TENNIS"			"SANDERS, M"	"mts123"	18	35	0	0	47	70	0	0	"LECTURE"	"FACEFACE"			1	"11845 PED  104P; 11850 PED  104P (RS);"			1	"TTH"	"9:30 am"	"11:00 am"	"AHG"	22	32								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102739	11865	"PED"	" 104P"	"  1"	"1-BEGINNING TENNIS"			"SANDERS, M"	"mts123"	21	35	0	0	40	70	0	0	"LECTURE"	"FACEFACE"			1	"11865 PED  104P; 11870 PED  104P (RS);"			1	"TTH"	"11:00 am"	"12:30 pm"	"AHG"	22	32								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102740	11835	"PED"	" 104P"	"  1"	"1-BEGINNING TENNIS"			"SANDERS, M"	"mts123"	24	35	0	0	42	70	0	0	"LECTURE"	"FACEFACE"			1	"11835 PED  104P; 11840 PED  104P (RS);"			1	"MW"	"9:00 am"	"10:30 am"	"AHG"	22	32								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
20152	102741	11840	"PED"	" 104P"	"  1"	"1-BEGINNING TENNIS"			"SANDERS, M"	"mts123"	18	35	0	0	42	70	0	0	"LECTURE"	"FACEFACE"			1	"11835 PED  104P (RS); 11840 PED  104P;"			1	"MW"	"9:00 am"	"10:30 am"	"AHG"	22	32								0								0										"A"								"A"					"10/24/2014"	"NRNW0291"	"#"
