"Registrar - ANALYTICAL METHODS I","Mon,  03 Nov 2014 8:30 CST","","Room: GDC 4.302"
"OEA Weekly Meeting","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 2.712"
"Rise and Dine","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 2.100"
"Registrar - ESL Fall 2014 ","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 2.402"
"Registrar - ESL Fall 2014 ","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 2.410"
"Registrar - ESL Classes ","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 2.502"
"Registrar - COMP ORGANIZATN & ARCH-C S","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 2.216"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 2.210"
"Registrar - NANOMETER SCALE IC DESIGN","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 4.304"
"Registrar - DECISION PATHWAYS","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 5.304"
"Registrar - THE FINITE ELEMENT METHOD","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 1.304"
"Jobs2Careers Meeting Room","Mon,  03 Nov 2014 9:00 CST","","Room: GDC 2.902"
"Rise and Dine with Rackspace","Mon,  03 Nov 2014 9:30 CST","GDC Atrium",""
"Registrar - PROBABILISTIC GRAPHICAL MODEL","Mon,  03 Nov 2014 9:30 CST","","Room: GDC 1.406"
"Academics - Staff Meeting","Mon,  03 Nov 2014 10:00 CST","","Room: GDC 2.712"
"C S 386W (Qiu)","Mon,  03 Nov 2014 10:00 CST","","Room: GDC 2.506"
"Registrar - DIFFEREN CALCULUS FOR SCIENCE","Mon,  03 Nov 2014 10:00 CST","","Room: GDC 4.302"
"Registrar - INTRODUCTION TO NUMBER THEORY","Mon,  03 Nov 2014 10:00 CST","","Room: GDC 2.210"
"Registrar - ELEMS OF COMPUTING IN SOCIETY","Mon,  03 Nov 2014 10:00 CST","","Room: GDC 5.302"
"Registrar - FOUNDATIONS OF LOGICAL THOUGHT","Mon,  03 Nov 2014 10:00 CST","","Room: GDC 1.304"
"Bruce class projects meeting","Mon,  03 Nov 2014 10:00 CST","",""
"Registrar - GENETICS","Mon,  03 Nov 2014 10:00 CST","","Room: GDC 6.202"
"Registrar - GENETICS","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 2.402"
"Registrar - FIRST-YR INTEREST GROUP-CNS","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 2.410"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 4.302"
"Registrar - ELEMS OF COMPUTERS/PROGRAMMING","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 2.216"
"Registrar - COMPUTING CRYPTOGRAPHIC DATA","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 2.210"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 1.406"
"Graphics Seminar","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 5.516"
"Registrar - PRACTICAL LINEAR ALGEBRA I","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 4.304"
"Registrar - DATA STRUCTURES: HONORS","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 5.302"
"Registrar - PROGRAMMING LANGUAGES","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 1.304"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  03 Nov 2014 11:00 CST","","Room: GDC 6.202"
"State Farm Company Day","Mon,  03 Nov 2014 11:30 CST","","Room: GDC 2.100"
"Witchel research group meeting","Mon,  03 Nov 2014 12:00 CST","","Room: GDC 6.516"
"Registrar - TOPICS IN NAT SCI HON SEMINAR","Mon,  03 Nov 2014 12:00 CST","","Room: GDC 2.402"
"Registrar - ECO 329 Supplemental Instruction ","Mon,  03 Nov 2014 12:00 CST","","Room: GDC 4.302"
"Registrar - DISCRETE MATH FOR COMPUTER SCI","Mon,  03 Nov 2014 12:00 CST","","Room: GDC 1.406"
"Witchel Research Group Meeting","Mon,  03 Nov 2014 12:00 CST","","Room: GDC 6.440"
"CS Ambassadors","Mon,  03 Nov 2014 12:00 CST","","Room: GDC 2.712"
"Registrar - PROGRAMMING FOR PERFORMANCE","Mon,  03 Nov 2014 12:30 CST","","Room: GDC 5.302"
"Registrar - GAME DEVEL CAPSTONE: 2D GAMES","Mon,  03 Nov 2014 12:30 CST","","Room: GDC 6.202"
"cs347 Project Reviews","Mon,  03 Nov 2014 13:00 CST","","Room: GDC 2.104"
"Registrar - INTRODUCTORY BIOLOGY II","Mon,  03 Nov 2014 13:00 CST","","Room: GDC 2.410"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  03 Nov 2014 13:00 CST","","Room: GDC 4.302"
"Registrar - ELEMS OF COMPUTERS/PROGRAMMING","Mon,  03 Nov 2014 13:00 CST","","Room: GDC 2.216"
"Registrar - INTRODUCTION TO PROGRAMMING","Mon,  03 Nov 2014 13:00 CST","","Room: GDC 2.210"
"Registrar - TOPICS IN CALCULUS","Mon,  03 Nov 2014 13:00 CST","","Room: GDC 1.406"
"Registrar - COMPUTER PROGRAMMING: C++","Mon,  03 Nov 2014 13:00 CST","","Room: GDC 1.304"
"C S 395T (Dillig, T.)","Mon,  03 Nov 2014 14:00 CST","",""
"Chao's Group Meeting @ Monday","Mon,  03 Nov 2014 14:00 CST","","Room: GDC 6.416"
"Registrar - COMP INTEL IN GAME DSGN II-FRI","Mon,  03 Nov 2014 14:00 CST","","Room: GDC 2.410"
"Registrar - ESL Fall 2014 ","Mon,  03 Nov 2014 14:00 CST","","Room: GDC 2.502"
"Registrar - COMPUTER PROGRAMMING: PYTHON","Mon,  03 Nov 2014 14:00 CST","","Room: GDC 2.506"
"Registrar - THEORY OF COMPUTATION","Mon,  03 Nov 2014 14:00 CST","","Room: GDC 4.302"
"Registrar - TOPICS IN CALCULUS","Mon,  03 Nov 2014 14:00 CST","","Room: GDC 2.210"
"Registrar - INTRODUCTORY BIOLOGY II","Mon,  03 Nov 2014 14:00 CST","","Room: GDC 1.406"
"Registrar - ALGORITHMS: TECHNIQUES & THRY","Mon,  03 Nov 2014 14:00 CST","","Room: GDC 4.304"
"Registrar - ELEMENTS OF WEB PROGRAMMING","Mon,  03 Nov 2014 14:00 CST","","Room: GDC 5.302"
