"Rise and Dine with Rackspace","Mon,  03 Nov 2014 9:30 CST","GDC Atrium"
"GAMMA Lobby Day: Multimedia Games","Wed,  05 Nov 2014 10:00 CST","GDC Atrium"
"Faculty Forum Lunch","Wed,  05 Nov 2014 12:00 CST",""
"Grad Tea Time","Wed,  05 Nov 2014 15:00 CST","GDC 4.202"
"Food For Thought with RetailMeNot - ""Labs:  Winning Big by Failing Fast""","Thu,  06 Nov 2014 12:00 CST","GDC 6.302"
"Brain Freeze with RetailMeNot","Thu,  06 Nov 2014 15:00 CST","GDC Atrium"
"UTCS AI Colloquium - Byron Wallace, UT Austin, ""Automating evidence synthesis via machine learning and natural language processing ""","Fri,  07 Nov 2014 11:00 CST","GDC 6.302"
"UTCS Alumni Tailgate - UT vs. West Virginia","Sat,  08 Nov 2014 12:00 CST","GDC"
"UTCS Faculty Candidate - Mahesh Balakrishnan, Microsoft Research Silicon Valley, ""The Shared Log Approach to Cloud-Scale Consistency""","Tue,  11 Nov 2014 11:00 CST","GDC 2.216"
"Project Giving Tree event","Tue,  11 Nov 2014 18:30 CST",""
"Faculty Forum Lunch with Bloomberg","Wed,  12 Nov 2014 12:00 CST",""
"Grad Tea Time with Bloomberg","Wed,  12 Nov 2014 15:00 CST","GDC 4.202"
"Jolly Game Jam","Sat,  15 Nov 2014 (All day)","GDC 6.302"
"Rise and Dine with Microsoft","Mon,  17 Nov 2014 9:30 CST",""
"UTCS Ambassadors Meeting","Tue,  18 Nov 2014 19:30 CST","GDC 2.104"
"Faculty Forum Lunch","Wed,  19 Nov 2014 12:00 CST",""
"Grad Tea Time","Wed,  19 Nov 2014 15:00 CST","GDC 4.202"
"Food for Thought with National Instruments","Thu,  20 Nov 2014 12:00 CST","GDC 6.302"
"TGIF with Google","Fri,  21 Nov 2014 16:00 CST",""
"Faculty Forum Lunch","Wed,  26 Nov 2014 12:00 CST",""
"Grad Tea Time","Wed,  26 Nov 2014 15:00 CST","GDC 4.202"
"Thanksgiving Holidays","Thu,  27 Nov 2014 (All day)",""
"Thanksgiving Holidays","Fri,  28 Nov 2014 (All day)",""
"Thanksgiving Holidays","Sat,  29 Nov 2014 (All day)",""
"Faculty Forum Lunch","Wed,  03 Dec 2014 12:00 CST",""
"Grad Tea Time","Wed,  03 Dec 2014 15:00 CST","GDC 4.202"
"Brain Freeze with HBK Capital Management","Thu,  04 Dec 2014 15:00 CST","GDC Atrium"
"Last Class Day","Fri,  05 Dec 2014 (All day)",""
"Rise and Dine with Salesforce","Fri,  05 Dec 2014 9:30 CST","GDC Atrium"
"UTCS Holiday Party","Fri,  05 Dec 2014 15:30 CST",""
"Faculty Forum Lunch","Wed,  10 Dec 2014 12:00 CST",""
"Digital Demo Day","Thu,  11 Dec 2014 14:00 CST",""
"Faculty Forum Lunch","Wed,  17 Dec 2014 12:00 CST",""
"Faculty Forum Lunch","Wed,  24 Dec 2014 12:00 CST",""
"Faculty Forum Lunch","Wed,  31 Dec 2014 12:00 CST",""
